movie_title,industry,release_year,imdb_rating,studios,budget (₹ mln),revenue (₹ mln),budget (₹ bln),revenue (₹ bln),budget ($ mln),revenue ($ mln),budget ($ bln),revenue ($ bln),language
K.G.F: Chapter 2,Bollywood,2022,8.4,Hombale Films,1000,12500,1,12.5,0.011837121,0.147964015,0.011837121,0.147964015,Kannada
Doctor Strange in the Multiverse of Madness,Hollywood,2022,7,Marvel Studios,16896,80661.504,16896,80661.504,200000,954800,0.2,0.9548,English
Thor: The Dark World,Hollywood,2013,6.8,Marvel Studios,13939.2,54472.704,13939.2,54472.704,165000,644800,0.165,0.6448,English
Thor: Ragnarok,Hollywood,2017,7.9,Marvel Studios,15206.4,72145.92,15206.4,72145.92,180000,854000,0.18,0.854,English
Thor: Love and Thunder,Hollywood,2022,6.8,Marvel Studios,21120,56601.6,21120,56601.6,250000,670000,0.25,0.67,English
Dilwale Dulhania Le Jayenge,Bollywood,1995,8,Yash Raj Films,400,2000,0.4,2,4.734848485,23.67424242,4.734848485,23.67424242,Hindi
3 Idiots,Bollywood,2009,8.4,Vinod Chopra Films,550,4000,0.55,4,6.510416667,47.34848485,6.510416667,47.34848485,Hindi
Kabhi Khushi Kabhie Gham,Bollywood,2001,7.4,Dharma Productions,390,1360,0.39,1.36,4.616477273,16.09848485,4.616477273,16.09848485,Hindi
Bajirao Mastani,Bollywood,2015,7.2,Bhansali Productions,1400,3500,1.4,3.5,0.01657197,0.041429924,0.01657197,0.041429924,Hindi
The Shawshank Redemption,Hollywood,1994,9.3,Castle Rock Entertainment,2112,6192.384,2112,6192.384,25000,73300,0.025,0.0733,English
Interstellar,Hollywood,2014,8.6,Warner Bros. Pictures,13939.2,59288.064,13939.2,59288.064,165000,701800,0.165,0.7018,English
The Pursuit of Happyness,Hollywood,2006,8,Columbia Pictures,4646.4,25943.808,4646.4,25943.808,55000,307100,0.055,0.3071,English
Gladiator,Hollywood,2000,8.5,Universal Pictures,8701.44,38903.04,8701.44,38903.04,103000,460500,0.103,0.4605,English
Titanic,Hollywood,1997,7.9,Paramount Pictures,16896,186024.96,16896,186024.96,200000,2202000,0.2,2.202,English
It's a Wonderful Life,Hollywood,1946,8.6,Liberty Films,268.6464,278.784,268.6464,278.784,3180,3300,0.00318,0.0033,English
Avatar,Hollywood,2009,7.8,20th Century Fox,20021.76,240514.56,20021.76,240514.56,237000,2847000,0.237,2.847,English
The Godfather,Hollywood,1972,9.2,Paramount Pictures,608.256,24583.68,608.256,24583.68,7200,291000,0.0072,0.291,English
The Dark Knight,Hollywood,2008,9,Syncopy,15628.8,84986.88,15628.8,84986.88,185000,1006000,0.185,1.006,English
Schindler's List,Hollywood,1993,9,Universal Pictures,1858.56,27219.456,1858.56,27219.456,22000,322200,0.022,0.3222,English
Jurassic Park,Hollywood,1993,8.2,Universal Pictures,5322.24,88366.08,5322.24,88366.08,63000,1046000,0.063,1.046,English
Parasite,Hollywood,2019,8.5,Barunson Company,1309.44,22226.688,1309.44,22226.688,15500,263100,0.0155,0.2631,English
Avengers: Endgame,Hollywood,2019,8.4,Marvel Studios,33792,236375.04,33792,236375.04,400000,2798000,0.4,2.798,English
Avengers: Infinity War,Hollywood,2018,8.4,Marvel Studios,33792,173015.04,33792,173015.04,400000,2048000,0.4,2.048,English
Pather Panchali,Bollywood,1955,8.3,Government of West Bengal,70,100,0.07,0.1,0.828598485,1.183712121,0.828598485,1.183712121,Bengali
Taare Zameen Par,Bollywood,2007,8.3,Aamir Khan Productions,120,1350,0.12,1.35,1.420454545,15.98011364,1.420454545,15.98011364,Hindi
Munna Bhai M.B.B.S.,Bollywood,2003,8.1,Vinod Chopra Productions,100,410,0.1,0.41,1.183712121,4.853219697,1.183712121,4.853219697,Hindi
PK,Bollywood,2014,8.1,Vinod Chopra Films,850,8540,0.85,8.54,10.06155303,101.0890152,10.06155303,101.0890152,Hindi
Sanju,Bollywood,2018,7.1,Vinod Chopra Films,1000,5900,1,5.9,0.011837121,0.069839015,0.011837121,0.069839015,Hindi
Pushpa: The Rise - Part 1,Bollywood,2021,7.6,Mythri Movie Makers,2000,3600,2,3.6,0.023674242,0.042613636,0.023674242,0.042613636,Telugu
RRR,Bollywood,2022,8,DVV Entertainment,5500,12000,5.5,12,0.065104167,0.142045455,0.065104167,0.142045455,Telugu
Baahubali: The Beginning,Bollywood,2015,8,Arka Media Works,1800,6500,1.8,6.5,0.021306818,0.076941288,0.021306818,0.076941288,Telugu
The Kashmir Files,Bollywood,2022,8.3,Zee Studios,250,3409,0.25,3.409,2.959280303,40.35274621,2.959280303,40.35274621,Hindi
Bajrangi Bhaijaan,Bollywood,2015,8.1,Salman Khan Films,900,11690,0.9,11.69,10.65340909,138.375947,10.65340909,138.375947,Hindi
Captain America: The First Avenger,Hollywood,2011,6.9,Marvel Studios,18306.816,31308.288,18306.816,31308.288,216700,370600,0.2167,0.3706,English
Captain America: The Winter Soldier,Hollywood,2014,7.8,Marvel Studios,14952.96,60352.512,14952.96,60352.512,177000,714400,0.177,0.7144,English
Race 3,Bollywood,2018,1.9,Salman Khan Films,1800,3100,1.8,3.1,0.021306818,0.036695076,0.021306818,0.036695076,Hindi
Shershaah,Bollywood,2021,8.4,Dharma Productions,500,950,0.5,0.95,5.918560606,11.24526515,5.918560606,11.24526515,Hindi
